20:24:15.202 [sbt-bg-threads-1] INFO  Simulation$ - Strating all the Simulations
20:24:15.258 [sbt-bg-threads-1] INFO  Simulation$ - Starting the Space Shared Simulation for the configuration given in application.conf
20:24:15.264 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Getting Config 
20:24:15.301 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Creating DatacenterSimple  
20:24:15.323 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 0 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.323 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.325 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Getting Config 
20:24:15.325 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Creating DatacenterSimple  
20:24:15.325 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 0 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.326 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.326 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Getting Config 
20:24:15.326 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Creating DatacenterSimple  
20:24:15.326 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 0 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.326 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.332 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Getting Config 
20:24:15.333 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Create Vms for each Data Center
20:24:15.337 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
20:24:15.338 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Choose Scheduler basewd on config provided
